         214697872 function calls (214697531 primitive calls) in 76.406 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.023    0.005   76.373   15.275 drivers.py:1984(selection_step)
        5    2.385    0.477   70.447   14.089 drivers.py:1908(psi_external_pt2)
        5    0.092    0.018   54.811   10.962 drivers.py:1961(<listcomp>)
   241875    0.183    0.000   54.734    0.000 drivers.py:1409(H_ii)
   725812    5.590    0.000   54.159    0.000 {built-in method builtins.sum}
   241875    0.118    0.000   51.848    0.000 drivers.py:1144(H_ii)
 54663750   23.187    0.000   46.803    0.000 drivers.py:1145(<genexpr>)
 54638161   15.503    0.000   15.514    0.000 drivers.py:494(H_ijkl_orbital)
   216301    0.159    0.000   14.350    0.000 drivers.py:1086(H_indices)
   304906    0.182    0.000   14.055    0.000 drivers.py:1099(H_indices_idx)
  160/110    0.001    0.000   10.187    0.093 functools.py:961(__get__)
   175946    0.530    0.000    9.821    0.000 drivers.py:1048(category_G)
       47    0.000    0.000    9.275    0.197 drivers.py:1489(H_i_implicit_matrix_product)
       10    0.019    0.002    9.199    0.920 drivers.py:1467(H_i_2e_matrix_elements)
 54663750    8.204    0.000    8.204    0.000 drivers.py:503(H_ii_indices)
   609262    1.392    0.000    7.294    0.000 drivers.py:623(do_double_oppspin)
        5    0.000    0.000    5.471    1.094 drivers.py:1843(E_and_psi_coef)
        5    0.003    0.001    5.470    1.094 drivers.py:1654(distributed_davidson)
  1140300    0.855    0.000    4.950    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
  2294640    2.763    0.000    4.119    0.000 drivers.py:521(get_dets_occ_in_orbitals)
        5    0.000    0.000    3.845    0.769 drivers.py:1857(E)
  2572064    1.520    0.000    3.664    0.000 drivers.py:339(H_ij)
   477819    0.754    0.000    3.391    0.000 drivers.py:599(do_double_samespin)
   803708    1.975    0.000    2.816    0.000 drivers.py:209(single_phase)
   241968    0.281    0.000    2.709    0.000 drivers.py:332(H_ii)
    43537    0.093    0.000    2.068    0.000 drivers.py:878(category_E)
  2572064    1.859    0.000    2.055    0.000 drivers.py:178(exc_degree)
  1256983    1.470    0.000    1.955    0.000 drivers.py:107(apply_excitation)
    53592    0.034    0.000    1.390    0.000 drivers.py:713(category_C)
    69987    0.126    0.000    1.319    0.000 drivers.py:725(do_single_C)
   183000    0.375    0.000    1.030    0.000 drivers.py:582(do_single)
  2419680    0.542    0.000    0.922    0.000 drivers.py:335(<genexpr>)
       10    0.000    0.000    0.891    0.089 drivers.py:1880(psi_external)
       10    0.184    0.018    0.890    0.089 drivers.py:160(gen_all_connected_determinant)
  2419680    0.512    0.000    0.845    0.000 drivers.py:336(<genexpr>)
 10609245    0.840    0.000    0.840    0.000 drivers.py:213(<lambda>)
  4360490    0.715    0.000    0.715    0.000 drivers.py:328(H_ij_orbital)
    43089    0.062    0.000    0.569    0.000 drivers.py:889(do_single_E)
  1354214    0.317    0.000    0.545    0.000 <string>:1(<lambda>)
  2294640    0.493    0.000    0.493    0.000 drivers.py:539(<listcomp>)
  1256984    0.485    0.000    0.485    0.000 {built-in method builtins.sorted}
   177240    0.137    0.000    0.480    0.000 drivers.py:35(integral_category)
    61779    0.049    0.000    0.471    0.000 drivers.py:252(double_phase)
   177240    0.210    0.000    0.343    0.000 integral_indexing_utils.py:143(canonical_idx4)
   406844    0.102    0.000    0.267    0.000 drivers.py:156(<genexpr>)
  1140300    0.262    0.000    0.262    0.000 {method 'union' of 'set' objects}
  1354218    0.228    0.000    0.228    0.000 {built-in method __new__ of type object at 0x55c0a48939a0}
  1154340    0.221    0.000    0.221    0.000 {method 'intersection' of 'set' objects}
    85436    0.045    0.000    0.216    0.000 drivers.py:152(<genexpr>)
    85436    0.044    0.000    0.206    0.000 drivers.py:147(<genexpr>)
  2290624    0.202    0.000    0.202    0.000 {built-in method builtins.getattr}
  1141980    0.201    0.000    0.201    0.000 drivers.py:541(<listcomp>)
   127414    0.125    0.000    0.196    0.000 drivers.py:173(exc_degree_spindet)
    10678    0.010    0.000    0.179    0.000 drivers.py:995(category_F)
  2294757    0.179    0.000    0.179    0.000 {method 'items' of 'dict' objects}
     4359    0.004    0.000    0.097    0.000 drivers.py:795(category_D)
     6414    0.010    0.000    0.089    0.000 drivers.py:806(do_single_D)
     5066    0.004    0.000    0.084    0.000 drivers.py:342(H_ij_spindet)
     5066    0.004    0.000    0.077    0.000 drivers.py:235(single_exc)
   365828    0.076    0.000    0.076    0.000 {built-in method builtins.min}
    88635    0.063    0.000    0.071    0.000 integral_indexing_utils.py:85(compound_idx4_reverse)
       15    0.000    0.000    0.065    0.004 drivers.py:1184(det_to_index_ext)
       15    0.065    0.004    0.065    0.004 drivers.py:1187(<dictcomp>)
   365811    0.064    0.000    0.064    0.000 {built-in method builtins.max}
       94    0.063    0.001    0.063    0.001 drivers.py:1500(H_i_implicit_matrix_product_step)
   127414    0.062    0.000    0.062    0.000 {method 'symmetric_difference' of 'set' objects}
    15865    0.005    0.000    0.045    0.000 drivers.py:678(category_B)
    15865    0.010    0.000    0.035    0.000 drivers.py:689(do_diagonal_B)
        1    0.014    0.014    0.026    0.026 io.py:23(load_integrals)
    11684    0.008    0.000    0.020    0.000 integral_indexing_utils.py:47(compound_idx4)
     8991    0.006    0.000    0.018    0.000 drivers.py:1013(do_diagonal_F)
       62    0.003    0.000    0.017    0.000 drivers.py:124(gen_all_connected_det_from_det)
      918    0.015    0.000    0.015    0.000 {built-in method numpy.array}
    25785    0.015    0.000    0.015    0.000 drivers.py:569(do_diagonal)
        5    0.000    0.000    0.015    0.003 drivers.py:1413(D_i)
1820/1630    0.002    0.000    0.014    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       10    0.001    0.000    0.013    0.001 drivers.py:1455(H_i_1e_matrix_elements)
    11281    0.007    0.000    0.012    0.000 integral_indexing_utils.py:14(compound_idx2)
130979/130956    0.009    0.000    0.009    0.000 {built-in method builtins.len}
     5066    0.009    0.000    0.009    0.000 drivers.py:217(single_exc_no_phase)
     5998    0.007    0.000    0.008    0.000 integral_indexing_utils.py:65(compound_idx2_reverse)
      195    0.002    0.000    0.007    0.000 index_tricks.py:323(__getitem__)
        1    0.000    0.000    0.006    0.006 argparse.py:1706(__init__)
      9/3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:1022(_find_and_load)
      9/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       42    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(eigh)
       42    0.005    0.000    0.005    0.000 linalg.py:1336(eigh)
      9/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:664(_load_unlocked)
      6/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap_external>:877(exec_module)
     12/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      6/3    0.000    0.000    0.004    0.001 {built-in method builtins.exec}
        5    0.000    0.000    0.004    0.001 argparse.py:1404(add_argument)
        5    0.000    0.000    0.004    0.001 argparse.py:2554(_get_formatter)
        5    0.000    0.000    0.004    0.001 argparse.py:170(__init__)
      195    0.000    0.000    0.004    0.000 numerictypes.py:599(find_common_type)
       37    0.001    0.000    0.003    0.000 drivers.py:1599(mgs)
        5    0.003    0.001    0.003    0.001 drivers.py:1888(psi_external_local)
