         61207484 function calls (60112165 primitive calls) in 21.394 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.004    0.001   21.329    7.110 drivers.py:1984(selection_step)
        3    0.311    0.104   16.480    5.493 drivers.py:1908(psi_external_pt2)
        3    0.024    0.008   13.569    4.523 drivers.py:1961(<listcomp>)
    61651    0.048    0.000   13.547    0.000 drivers.py:1409(H_ii)
   184996    1.373    0.000   13.399    0.000 {built-in method builtins.sum}
    61637    0.032    0.000   12.805    0.000 drivers.py:474(H_ii)
 13929962    5.787    0.000   11.563    0.000 drivers.py:475(<genexpr>)
    78/57    0.000    0.000    4.947    0.087 functools.py:961(__get__)
        3    0.000    0.000    4.738    1.579 drivers.py:1843(E_and_psi_coef)
        3    0.001    0.000    4.738    1.579 drivers.py:1654(distributed_davidson)
       16    0.000    0.000    4.731    0.296 drivers.py:1489(H_i_implicit_matrix_product)
        6    0.004    0.001    4.728    0.788 drivers.py:1467(H_i_2e_matrix_elements)
     3391    0.033    0.000    4.720    0.001 drivers.py:1086(H_indices)
    38150    0.049    0.000    4.643    0.000 drivers.py:1099(H_indices_idx)
 13982733    3.763    0.000    3.794    0.000 drivers.py:375(H_ijkl_orbital)
    21438    0.207    0.000    3.290    0.000 drivers.py:1048(category_G)
   222394    0.462    0.000    2.535    0.000 drivers.py:623(do_double_oppspin)
   114414    0.125    0.000    2.154    0.000 drivers.py:455(H_indices)
 13931544    2.078    0.000    2.078    0.000 drivers.py:384(H_ii_indices)
   296932    0.373    0.000    2.029    0.000 drivers.py:402(H_ij_indices)
   465128    0.351    0.000    1.991    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
   933064    1.126    0.000    1.645    0.000 drivers.py:521(get_dets_occ_in_orbitals)
   309318    0.793    0.000    1.128    0.000 drivers.py:209(single_phase)
   171208    0.242    0.000    1.060    0.000 drivers.py:599(do_double_samespin)
     6230    0.040    0.000    0.781    0.000 drivers.py:878(category_E)
    61672    0.068    0.000    0.692    0.000 drivers.py:332(H_ii)
   547578    0.189    0.000    0.635    0.000 typing.py:306(inner)
    91854    0.046    0.000    0.581    0.000 drivers.py:428(H_ij_doubleAB_2e_index)
    94130    0.062    0.000    0.549    0.000 drivers.py:235(single_exc)
   343096    0.408    0.000    0.546    0.000 drivers.py:107(apply_excitation)
1095147/547575    0.260    0.000    0.446    0.000 typing.py:1037(__hash__)
     5637    0.008    0.000    0.354    0.000 drivers.py:713(category_C)
  4170796    0.335    0.000    0.335    0.000 drivers.py:213(<lambda>)
    11138    0.039    0.000    0.334    0.000 drivers.py:725(do_single_C)
   365132    0.272    0.000    0.318    0.000 drivers.py:178(exc_degree)
1095147/547575    0.186    0.000    0.313    0.000 {built-in method builtins.hash}
   616720    0.145    0.000    0.243    0.000 drivers.py:335(<genexpr>)
   182608    0.107    0.000    0.237    0.000 drivers.py:339(H_ij)
    54432    0.017    0.000    0.231    0.000 drivers.py:419(H_ij_doubleAA_indices)
   616720    0.132    0.000    0.217    0.000 drivers.py:336(<genexpr>)
    18144    0.016    0.000    0.214    0.000 drivers.py:287(double_exc)
        6    0.000    0.000    0.214    0.036 drivers.py:1880(psi_external)
        6    0.039    0.007    0.213    0.036 drivers.py:160(gen_all_connected_determinant)
    49760    0.085    0.000    0.200    0.000 drivers.py:582(do_single)
   933064    0.200    0.000    0.200    0.000 drivers.py:539(<listcomp>)
    69524    0.053    0.000    0.187    0.000 drivers.py:35(integral_category)
    12396    0.026    0.000    0.184    0.000 drivers.py:889(do_single_E)
  1111238    0.184    0.000    0.184    0.000 drivers.py:328(H_ij_orbital)
   345609    0.086    0.000    0.163    0.000 <string>:1(<lambda>)
   379385    0.151    0.000    0.151    0.000 {built-in method builtins.sorted}
    18152    0.015    0.000    0.149    0.000 drivers.py:252(double_phase)
    94130    0.144    0.000    0.144    0.000 drivers.py:217(single_exc_no_phase)
    69524    0.082    0.000    0.134    0.000 integral_indexing_utils.py:143(canonical_idx4)
   465128    0.090    0.000    0.090    0.000 {method 'union' of 'set' objects}
   470596    0.083    0.000    0.083    0.000 drivers.py:541(<listcomp>)
    91868    0.023    0.000    0.080    0.000 drivers.py:156(<genexpr>)
   345613    0.077    0.000    0.077    0.000 {built-in method __new__ of type object at 0x55ae3b4b29a0}
   467936    0.076    0.000    0.076    0.000 {method 'intersection' of 'set' objects}
   933107    0.071    0.000    0.071    0.000 {method 'items' of 'dict' objects}
   609405    0.058    0.000    0.058    0.000 {built-in method builtins.getattr}
    18144    0.037    0.000    0.050    0.000 drivers.py:265(double_exc_no_phase)
    19292    0.010    0.000    0.048    0.000 drivers.py:152(<genexpr>)
    25392    0.030    0.000    0.045    0.000 drivers.py:173(exc_degree_spindet)
    26588    0.021    0.000    0.045    0.000 integral_indexing_utils.py:47(compound_idx4)
    34768    0.026    0.000    0.044    0.000 integral_indexing_utils.py:85(compound_idx4_reverse)
        1    0.024    0.024    0.044    0.044 io.py:23(load_integrals)
    19292    0.010    0.000    0.043    0.000 drivers.py:147(<genexpr>)
   159251    0.034    0.000    0.034    0.000 {built-in method builtins.min}
   159218    0.029    0.000    0.029    0.000 {built-in method builtins.max}
     1467    0.002    0.000    0.027    0.000 drivers.py:995(category_F)
      723    0.001    0.000    0.027    0.000 drivers.py:795(category_D)
    20138    0.014    0.000    0.024    0.000 integral_indexing_utils.py:14(compound_idx2)
     1446    0.003    0.000    0.024    0.000 drivers.py:806(do_single_D)
    12960    0.015    0.000    0.018    0.000 integral_indexing_utils.py:65(compound_idx2_reverse)
        1    0.000    0.000    0.017    0.017 argparse.py:1706(__init__)
      9/3    0.000    0.000    0.015    0.005 <frozen importlib._bootstrap>:1022(_find_and_load)
      9/3    0.000    0.000    0.015    0.005 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      9/3    0.000    0.000    0.014    0.005 <frozen importlib._bootstrap>:664(_load_unlocked)
      6/3    0.000    0.000    0.014    0.005 <frozen importlib._bootstrap_external>:877(exec_module)
    31752    0.007    0.000    0.014    0.000 drivers.py:408(H_ij_single_indices)
    25392    0.012    0.000    0.012    0.000 {method 'symmetric_difference' of 'set' objects}
     12/3    0.000    0.000    0.011    0.004 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      6/3    0.000    0.000    0.011    0.004 {built-in method builtins.exec}
        5    0.000    0.000    0.011    0.002 argparse.py:1404(add_argument)
        5    0.000    0.000    0.010    0.002 argparse.py:2554(_get_formatter)
        5    0.000    0.000    0.010    0.002 argparse.py:170(__init__)
     1142    0.001    0.000    0.008    0.000 drivers.py:342(H_ij_spindet)
     2503    0.001    0.000    0.008    0.000 drivers.py:678(category_B)
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
     2503    0.002    0.000    0.006    0.000 drivers.py:689(do_diagonal_B)
        3    0.000    0.000    0.006    0.002 gettext.py:756(gettext)
        3    0.000    0.000    0.006    0.002 gettext.py:679(dgettext)
        3    0.000    0.000    0.006    0.002 gettext.py:598(translation)
        3    0.000    0.000    0.006    0.002 gettext.py:542(find)
        6    0.000    0.000    0.005    0.001 gettext.py:211(_expand_lang)
       20    0.000    0.000    0.005    0.000 re.py:288(_compile)
       16    0.000    0.000    0.004    0.000 re.py:249(compile)
        7    0.000    0.000    0.004    0.001 sre_compile.py:783(compile)
       14    0.001    0.000    0.004    0.000 drivers.py:124(gen_all_connected_det_from_det)
        6    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:950(get_code)
      242    0.004    0.000    0.004    0.000 {built-in method numpy.array}
        3    0.000    0.000    0.003    0.001 drivers.py:1857(E)
     1467    0.001    0.000    0.003    0.000 drivers.py:1013(do_diagonal_F)
        3    0.000    0.000    0.003    0.001 drivers.py:1413(D_i)
26655/26632    0.003    0.000    0.003    0.000 {built-in method builtins.len}
       14    0.000    0.000    0.003    0.000 drivers.py:1144(H_ii)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
     6440    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
    12960    0.003    0.000    0.003    0.000 {built-in method math.isqrt}
     3164    0.001    0.000    0.003    0.000 drivers.py:1145(<genexpr>)
  450/397    0.001    0.000    0.003    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     6538    0.002    0.000    0.003    0.000 drivers.py:494(H_ijkl_orbital)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        7    0.000    0.000    0.002    0.000 sre_parse.py:944(parse)
        1    0.001    0.001    0.002    0.002 locale.py:1(<module>)
     4122    0.002    0.000    0.002    0.000 drivers.py:569(do_diagonal)
        6    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       32    0.002    0.000    0.002    0.000 drivers.py:1500(H_i_implicit_matrix_product_step)
       56    0.001    0.000    0.002    0.000 index_tricks.py:323(__getitem__)
        6    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     13/7    0.000    0.000    0.002    0.000 sre_parse.py:436(_parse_sub)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        3    0.002    0.001    0.002    0.001 {built-in method io.open}
     14/8    0.001    0.000    0.002    0.000 sre_parse.py:494(_parse)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        7    0.000    0.000    0.002    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.001    0.001 io.py:93(load_wf)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
        2    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        3    0.000    0.000    0.001    0.000 argparse.py:1322(__init__)
        1    0.000    0.000    0.001    0.001 glob.py:1(<module>)
       10    0.000    0.000    0.001    0.000 drivers.py:1622(preconditioning)
       56    0.000    0.000    0.001    0.000 numerictypes.py:599(find_common_type)
     22/7    0.000    0.000    0.001    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.001    0.001 argparse.py:1837(parse_args)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.001    0.001 argparse.py:1844(parse_known_args)
      112    0.001    0.000    0.001    0.000 numerictypes.py:575(_can_coerce_all)
        1    0.000    0.000    0.001    0.001 argparse.py:1883(_parse_known_args)
       11    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       57    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        6    0.000    0.000    0.001    0.000 drivers.py:1455(H_i_1e_matrix_elements)
        8    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        4    0.000    0.000    0.001    0.000 argparse.py:1951(consume_optional)
       13    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(eigh)
        7    0.000    0.000    0.001    0.000 sre_compile.py:560(_compile_info)
       13    0.000    0.000    0.001    0.000 linalg.py:1336(eigh)
        3    0.000    0.000    0.001    0.000 drivers.py:1081(exci)
       13    0.000    0.000    0.001    0.000 fromnumeric.py:51(_wrapfunc)
       88    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        3    0.000    0.000    0.001    0.000 drivers.py:1076(N_orb)
        1    0.001    0.001    0.001    0.001 {method 'close' of '_io.TextIOWrapper' objects}
       10    0.000    0.000    0.001    0.000 drivers.py:1599(mgs)
