         1695706883 function calls (1695706344 primitive calls) in 1321.622 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.235    0.029 1321.576  165.197 drivers.py:1984(selection_step)
        8  351.102   43.888 1144.197  143.025 drivers.py:1908(psi_external_pt2)
412019930  235.949    0.000  559.518    0.000 drivers.py:339(H_ij)
412019930  321.768    0.000  322.296    0.000 drivers.py:178(exc_degree)
  7710586    3.115    0.000  234.269    0.000 drivers.py:1086(H_indices)
  7883170    2.168    0.000  230.588    0.000 drivers.py:1099(H_indices_idx)
       86    0.001    0.000  226.963    2.639 drivers.py:1489(H_i_implicit_matrix_product)
        8    0.000    0.000  170.431   21.304 drivers.py:1843(E_and_psi_coef)
        8    0.007    0.001  170.431   21.304 drivers.py:1654(distributed_davidson)
  256/176    0.059    0.000  170.068    0.966 functools.py:961(__get__)
  4791840    2.647    0.000  156.990    0.000 drivers.py:1048(category_G)
       16    0.861    0.054  150.740    9.421 drivers.py:1467(H_i_2e_matrix_elements)
  4307081   35.371    0.000  143.888    0.000 drivers.py:623(do_double_oppspin)
        8    0.493    0.062   86.961   10.870 drivers.py:1961(<listcomp>)
  1239317    0.945    0.000   86.644    0.000 drivers.py:1409(H_ii)
  3725602    9.079    0.000   83.708    0.000 {built-in method builtins.sum}
  1239317    0.583    0.000   76.705    0.000 drivers.py:1144(H_ii)
 31796438   51.587    0.000   70.627    0.000 drivers.py:209(single_phase)
      172   70.412    0.409   70.413    0.409 drivers.py:1500(H_i_implicit_matrix_product_step)
 81794922   33.727    0.000   69.187    0.000 drivers.py:1145(<genexpr>)
        8    0.000    0.000   56.789    7.099 drivers.py:1857(E)
 43290563   42.483    0.000   55.563    0.000 drivers.py:107(apply_excitation)
  3110766   14.173    0.000   49.021    0.000 drivers.py:599(do_double_samespin)
  1456284    0.670    0.000   47.289    0.000 drivers.py:878(category_E)
  2146298    9.817    0.000   26.558    0.000 drivers.py:582(do_single)
 88266167   25.086    0.000   25.101    0.000 drivers.py:494(H_ijkl_orbital)
  2233248    5.066    0.000   20.747    0.000 drivers.py:547(get_dets_via_orbital_occupancy)
  1208478    0.312    0.000   19.439    0.000 drivers.py:713(category_C)
  1241238    0.549    0.000   19.047    0.000 drivers.py:725(do_single_C)
233673744   19.040    0.000   19.040    0.000 drivers.py:213(<lambda>)
  4481976    6.756    0.000   15.728    0.000 drivers.py:521(get_dets_occ_in_orbitals)
 37107234    8.693    0.000   14.334    0.000 <string>:1(<lambda>)
 81794922   13.222    0.000   13.222    0.000 drivers.py:503(H_ii_indices)
 43290564   13.080    0.000   13.080    0.000 {built-in method builtins.sorted}
       16    0.000    0.000   12.915    0.807 drivers.py:1880(psi_external)
       16    3.245    0.203   12.914    0.807 drivers.py:160(gen_all_connected_determinant)
  2335470    1.662    0.000   11.835    0.000 drivers.py:252(double_phase)
   637781    0.295    0.000    9.543    0.000 drivers.py:889(do_single_E)
  1243142    1.442    0.000    9.027    0.000 drivers.py:332(H_ii)
 85692130    7.378    0.000    7.378    0.000 {built-in method builtins.getattr}
       16    2.001    0.125    5.751    0.359 drivers.py:1455(H_i_1e_matrix_elements)
 37107238    5.641    0.000    5.641    0.000 {built-in method __new__ of type object at 0x55bee37569a0}
  2233248    4.050    0.000    4.050    0.000 {method 'union' of 'set' objects}
  6377550    1.602    0.000    3.951    0.000 drivers.py:156(<genexpr>)
  7458852    1.717    0.000    2.867    0.000 drivers.py:335(<genexpr>)
  2248728    2.857    0.000    2.857    0.000 {method 'intersection' of 'set' objects}
  1277550    0.637    0.000    2.669    0.000 drivers.py:147(<genexpr>)
  1277550    0.639    0.000    2.633    0.000 drivers.py:152(<genexpr>)
  7458852    1.563    0.000    2.575    0.000 drivers.py:336(<genexpr>)
 12575136    2.251    0.000    2.251    0.000 drivers.py:328(H_ij_orbital)
   121695    0.039    0.000    1.947    0.000 drivers.py:795(category_D)
   129868    0.039    0.000    1.942    0.000 drivers.py:995(category_F)
   126687    0.054    0.000    1.896    0.000 drivers.py:806(do_single_D)
   143716    0.155    0.000    1.239    0.000 drivers.py:342(H_ij_spindet)
  4481976    1.200    0.000    1.200    0.000 drivers.py:539(<listcomp>)
   345216    0.293    0.000    1.047    0.000 drivers.py:35(integral_category)
   143716    0.143    0.000    0.995    0.000 drivers.py:235(single_exc)
   345216    0.469    0.000    0.754    0.000 integral_indexing_utils.py:143(canonical_idx4)
   268949    0.303    0.000    0.528    0.000 drivers.py:173(exc_degree_spindet)
  2247864    0.463    0.000    0.463    0.000 drivers.py:541(<listcomp>)
     2550    0.081    0.000    0.415    0.000 drivers.py:124(gen_all_connected_det_from_det)
  4482180    0.402    0.000    0.402    0.000 {method 'items' of 'dict' objects}
       24    0.000    0.000    0.397    0.017 drivers.py:1184(det_to_index_ext)
       24    0.397    0.017    0.397    0.017 drivers.py:1187(<dictcomp>)
   143716    0.341    0.000    0.341    0.000 drivers.py:217(single_exc_no_phase)
   268949    0.203    0.000    0.203    0.000 {method 'symmetric_difference' of 'set' objects}
   161784    0.034    0.000    0.186    0.000 drivers.py:678(category_B)
        8    0.002    0.000    0.178    0.022 drivers.py:1413(D_i)
   704771    0.162    0.000    0.162    0.000 {built-in method builtins.min}
   172632    0.143    0.000    0.153    0.000 integral_indexing_utils.py:85(compound_idx4_reverse)
   161784    0.035    0.000    0.146    0.000 drivers.py:689(do_diagonal_B)
   704770    0.132    0.000    0.132    0.000 {built-in method builtins.max}
   254025    0.128    0.000    0.128    0.000 drivers.py:569(do_diagonal)
     1633    0.079    0.000    0.079    0.000 {built-in method numpy.array}
    79020    0.019    0.000    0.074    0.000 drivers.py:1013(do_diagonal_F)
3262/2904    0.020    0.000    0.061    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    10200    0.011    0.000    0.047    0.000 drivers.py:113(gen_all_connected_spindet)
    10200    0.036    0.000    0.036    0.000 drivers.py:93(gen_all_excitation)
        1    0.017    0.017    0.033    0.033 io.py:23(load_integrals)
       70    0.001    0.000    0.028    0.000 drivers.py:1622(preconditioning)
    15026    0.011    0.000    0.027    0.000 integral_indexing_utils.py:47(compound_idx4)
275349/275326    0.023    0.000    0.023    0.000 {built-in method builtins.len}
        8    0.022    0.003    0.022    0.003 drivers.py:1888(psi_external_local)
      366    0.004    0.000    0.017    0.000 index_tricks.py:323(__getitem__)
      748    0.001    0.000    0.017    0.000 <__array_function__ internals>:2(dot)
       78    0.000    0.000    0.016    0.000 fromnumeric.py:51(_wrapfunc)
    14270    0.009    0.000    0.016    0.000 integral_indexing_utils.py:14(compound_idx2)
    13221    0.003    0.000    0.016    0.000 drivers.py:654(category_A)
       24    0.000    0.000    0.015    0.001 drivers.py:1189(spindet_occ_int)
       24    0.000    0.000    0.015    0.001 drivers.py:1163(get_spindet_a_occ_spindet_b_occ)
       72    0.000    0.000    0.014    0.000 drivers.py:1182(<genexpr>)
       48    0.010    0.000    0.014    0.000 drivers.py:1175(get_dets_occ)
        8    0.000    0.000    0.014    0.002 <__array_function__ internals>:2(argpartition)
        8    0.000    0.000    0.014    0.002 fromnumeric.py:763(argpartition)
        8    0.014    0.002    0.014    0.002 {method 'argpartition' of 'numpy.ndarray' objects}
     1151    0.013    0.000    0.013    0.000 {built-in method numpy.zeros}
    13221    0.003    0.000    0.012    0.000 drivers.py:665(do_diagonal_A)
      148    0.000    0.000    0.012    0.000 <__array_function__ internals>:2(diag)
      148    0.001    0.000    0.012    0.000 twodim_base.py:234(diag)
     7195    0.009    0.000    0.010    0.000 integral_indexing_utils.py:65(compound_idx2_reverse)
        1    0.000    0.000    0.009    0.009 argparse.py:1706(__init__)
      9/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap>:1022(_find_and_load)
      9/3    0.000    0.000    0.008    0.003 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       70    0.003    0.000    0.008    0.000 drivers.py:1599(mgs)
